Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
45,0.9,-0.6212154031610982,-32.705516261472575,-0.6432934049571214,38.591949133356266,0.5971802122305412,72.56740730123326,0.6532705777517467,23.067876121833706,-0.6043635606284287,37.44134312234498,0.9414,63.87282836773576,-0.9414,-25.382885031679848,0.7835882406574743,-40.321999156931625,-0.9414,-53.33485984125807,0.8960717057032013,16.252423755248987,0.5964335095759493,-37.751413383401854,-0.9414,-49.02799753414661
46,0.92,-0.5374040493987872,-33.053315977398746,-0.6326967526640297,38.49867721430022,0.6316023184768731,72.4891634647424,0.49039797620020337,23.067876121833706,-0.664104236785306,37.83988319667026,0.9289229100112648,64.36523760899087,-0.9414,-26.548160427035047,0.7547139559264605,-40.07997273279189,-0.9414,-52.74883101628757,0.9414,16.977858883089223,0.6720216844899173,-38.03112615159606,-0.9414,-50.06482606050668
47,0.94,-0.5355407689182128,-33.338861287716156,-0.6094293533891534,38.39846917285416,0.6857922501623094,72.38662054748139,0.49723757593000756,22.147400953845846,-0.6815455975122524,38.43247403538641,0.8808208442940662,65.341204446439,-0.9414,-26.548160427035047,0.7210383760485255,-39.85470758014786,-0.9414,-52.354296175351344,0.8486449361845838,19.433217114701534,0.6806990525541566,-38.65598050611187,-0.9414,-50.06482606050668
48,0.96,-0.5698632172224714,-33.30847651048102,-0.6055637807996055,38.204508167088775,0.7209907940274335,72.0756706107491,0.4652528886357878,22.096486404872536,-0.6663972398991816,38.43247403538641,0.8697628299850755,65.90040670881883,-0.9414,-27.94857555730052,0.7328553995930178,-39.66290424367634,-0.9414,-52.07810066717526,0.9414,19.666111015205857,0.6640574874614128,-38.69788939725937,-0.9414,-53.98333358834168
49,0.98,-0.579071573310186,-33.26183882322048,-0.6215531331157883,38.205389902951325,0.7266397085800276,71.47497665557505,0.4514533799415804,22.133905177445474,-0.6690938202644404,38.672633378227175,0.8781975301869904,65.90040670881883,-0.9414,-27.94857555730052,0.7344523909805355,-39.59102757003416,-0.9414,-52.22966716236342,0.9414,19.666111015205857,0.6727269840526255,-38.7338817458952,-0.9414,-53.99442603798608
50,1.0,-0.5657088680092868,-33.130233486332955,-0.6205274274533306,38.227337577504485,0.716869461931642,71.61018085308162,0.45440370808555186,22.34937438068136,-0.6731637530391819,38.68138428107528,0.8960533449718662,66.14463316407353,-0.9414,-28.48084623268858,0.7360394068753868,-39.59102757003416,-0.9414,-52.369298590473775,0.9414,19.098731981790948,0.6697924593513043,-38.74567553181613,-0.9414,-54.10955920622464
51,1.02,-0.023145626483947745,-32.06198035796829,0.27146912449286187,41.691125963065325,0.6361424366133202,73.92574358454645,-0.08416914379358445,22.34937438068136,-0.8687726500000478,39.506987555391945,0.9414,65.74609058321732,-0.7404945729774713,-27.984752676703003,0.4651663765175801,-39.49355994782225,-0.9414,-52.67225272929025,0.9414,19.12387648373888,0.7565831015862339,-38.68468888581989,-0.9414,-54.89541135005415
52,1.04,0.013618810140189591,-29.630033678783096,-0.2426550102096861,44.38803830510852,0.5548948826919466,73.92574358454645,-0.16448882555970254,25.30364607804369,-0.9381949594119979,39.506987555391945,0.9414,64.10652026717607,-0.4534143346093087,-27.984752676703003,0.44735512317151394,-37.163781158047314,-0.9414,-56.42225053125148,0.9414,18.538471555654333,0.8609962875259713,-39.24804145218804,-0.9414,-56.23576786890262
53,1.06,0.04580090596642197,-29.154540642351915,-0.3257346313965219,53.687793981673444,0.41360701405080225,82.7511251662584,-0.15412737870682966,25.816867979619634,-0.860004504553853,41.02774781593163,0.9414,62.41059290237897,-0.47650824633082156,-30.054551701828213,0.40403801116443494,-36.87323428197251,-0.9414,-64.88266581451818,0.9414,18.538471555654333,0.8536976393678313,-40.02360729939615,-0.9414,-58.33376217391203
54,1.08,0.11313573666061316,-29.39008813720401,-0.2698017859684774,54.88139141298323,0.31155808266052304,82.7511251662584,-0.12508955390140147,26.401526945197922,-0.8114767178620763,40.64704884736588,0.9414,61.251636758692705,-0.6825504787554384,-30.10008243095383,0.548692705417764,-36.76930946241834,-0.9038427012369177,-66.96852525822456,0.681898351285155,22.41502726065606,0.8400919787231632,-40.72684670889558,-0.9414,-58.791345204063596
55,1.1,0.19387972140705712,-29.897605047972505,-0.2854264901721835,55.59621436836214,0.3387294795411198,86.23693377858424,-0.0843006771866819,26.111788510838476,-0.7903543396247236,40.554875935343944,0.9414,58.33570594865759,-0.7124507903856768,-29.04351387047196,0.5228312770360339,-37.17836326888564,-0.8747506624692245,-68.3206289100551,0.642365726562544,24.392011369644518,0.8427211944457725,-40.720798402883666,-0.9414,-58.791345204063596
