frame_idx,sim_time_s,peak_joint,peak_value
463,19.3720,fl_knee,0.1554
464,19.4050,fl_knee,0.1555
465,19.4380,fl_knee,0.1555
466,19.4710,fl_knee,0.1555
467,19.5040,fl_knee,0.1555
468,19.5370,fl_knee,0.1555
469,19.5700,fl_knee,0.1555
470,19.6030,fl_knee,0.1555
471,19.6360,fl_knee,0.1555
472,19.6690,fl_knee,0.1555
473,19.7020,fl_knee,0.1555
474,19.7350,fl_knee,0.1554
475,19.7680,fl_knee,0.1554
476,19.8010,fl_knee,0.1554
477,19.8340,fl_knee,0.1554
478,19.8670,fl_knee,0.1554
479,19.9000,fl_knee,0.1554
480,19.9330,fl_knee,0.1554
481,19.9660,fl_knee,0.1553
482,19.9990,fl_knee,0.1552
483,20.0320,fl_knee,0.1552
484,20.0650,fl_knee,0.1551
485,20.0980,fl_knee,0.1550
486,20.1310,fl_knee,0.1549
487,20.1640,fl_knee,0.1549
488,20.1970,fl_knee,0.1548
489,20.2300,fl_knee,0.1547
490,20.2630,fl_knee,0.1547
491,20.2960,fl_knee,0.1546
492,20.3290,fl_knee,0.1545
493,20.3620,fl_knee,0.1545
494,20.3950,fl_knee,0.1544
495,20.4280,fl_knee,0.1543
496,20.4610,fl_knee,0.1543
497,20.4940,fl_knee,0.1542
498,20.5270,fl_knee,0.1542
499,20.5600,fl_knee,0.1541
500,20.5930,fl_knee,0.1540
501,20.6260,fl_knee,0.1540
502,20.6590,fl_knee,0.1539
503,20.6920,fl_knee,0.1539
504,20.7250,fl_knee,0.1538
505,20.7580,fl_knee,0.1537
506,20.7910,fl_knee,0.1537
507,20.8240,fl_knee,0.1536
508,20.8570,fl_knee,0.1535
509,20.8900,fl_knee,0.1535
510,20.9230,fl_knee,0.1534
511,20.9560,fl_knee,0.1533
512,20.9890,fl_knee,0.1533
513,21.0220,fl_knee,0.1532
514,21.0550,fl_knee,0.1532
515,21.0880,fl_knee,0.1531
516,21.1210,fl_knee,0.1530
517,21.1540,fl_knee,0.1530
518,21.1870,fl_knee,0.1529
519,21.2200,fl_knee,0.1529
520,21.2530,fl_knee,0.1528
521,21.2860,fl_knee,0.1527
522,21.3190,fl_knee,0.1527
523,21.3520,fl_knee,0.1526
524,21.3850,fl_knee,0.1526
525,21.4180,fl_knee,0.1525
526,21.4510,fl_knee,0.1524
527,21.4840,fl_knee,0.1524
528,21.5170,fl_knee,0.1523
529,21.5500,fl_knee,0.1523
530,21.5830,fl_knee,0.1522
531,21.6160,fl_knee,0.1521
532,21.6490,fl_knee,0.1521
533,21.6820,fl_knee,0.1520
534,21.7150,fl_knee,0.1639
535,21.7480,fl_knee,0.1515
536,21.7810,fl_knee,0.1513
537,21.8140,fl_knee,0.1513
538,21.8470,fl_knee,0.1513
539,21.8800,fl_knee,0.1513
540,21.9130,fl_knee,0.1513
541,21.9460,fl_knee,0.1513
542,21.9790,fl_knee,0.1513
543,22.0120,fl_knee,0.1513
544,22.0450,fl_knee,0.1514
545,22.0780,fl_knee,0.1514
546,22.1110,fl_knee,0.1514
547,22.1440,fl_knee,0.1513
548,22.1770,fl_knee,0.1512
549,22.2100,fl_knee,0.1512
550,22.2430,fl_knee,0.1507
551,22.2760,fl_knee,0.1506
552,22.3090,fl_knee,0.1505
553,22.3420,fl_knee,0.1504
554,22.3750,fl_knee,0.1504
555,22.4080,fl_knee,0.1504
556,22.4410,fl_knee,0.1504
557,22.4740,fl_knee,0.1504
