Time_Step,Time_s,FR_hip_torque,FR_hip_angle_deg,FR_knee_torque,FR_knee_angle_deg,FR_foot_torque,FR_foot_angle_deg,BR_hip_torque,BR_hip_angle_deg,BR_knee_torque,BR_knee_angle_deg,BR_foot_torque,BR_foot_angle_deg,BL_hip_torque,BL_hip_angle_deg,BL_knee_torque,BL_knee_angle_deg,BL_foot_torque,BL_foot_angle_deg,FL_hip_torque,FL_hip_angle_deg,FL_knee_torque,FL_knee_angle_deg,FL_foot_torque,FL_foot_angle_deg
48,0.96,0.47744283355364864,-33.744590279934734,0.6633735572041999,37.46079800844172,0.8484519653794126,67.94243765427673,0.22383435522573902,24.820125212395624,0.6777259716383607,37.194965720210725,0.6399939559953727,68.3254795173806,0.8796467337255559,-29.337829377503912,0.7453228378058683,-39.55173934191906,0.8901809571080833,-66.23955110621378,0.8602447740482064,21.307480558238787,0.7556737414986203,-39.76175650401669,0.8753594023726912,-65.44222024117894
49,0.98,0.46179176609847544,-33.744590279934734,0.6939573831649416,37.62409540106168,0.8458374497243708,67.73530238907578,0.24394521919063616,24.820125212395624,0.6743416490592308,37.28326832413169,0.6761215955363028,67.85723543698425,0.948489354927267,-29.028787232130686,0.7408559064538662,-39.56801341754268,0.8908872807255112,-66.36828724227856,0.8353210417711383,21.44993730701735,0.77548559012562,-39.82217601848455,0.8722405325139828,-65.69629791534824
50,1.0,0.43742434701718214,-34.09190129209631,0.702397144763729,37.70876812969499,0.8216011548098968,67.73530238907578,0.27254708438232655,24.50515478088042,0.6601422706109125,37.27368667137087,0.6827217558188037,67.78962679370356,0.9700985749114025,-28.642618321723745,0.73079255070993,-39.56801341754268,0.9029420833470918,-66.2702381316579,0.79883501082046,21.647247179486456,0.7856822500512235,-39.93677864327765,0.8655598468499943,-65.75669208333699
51,1.02,0.42496607438228123,-33.62772398904712,0.7010733917390743,39.633291108211886,0.8036553826031821,67.97427975358629,0.2911849899130348,24.503834502398885,0.653403041959925,37.39607739960099,0.6781468948432319,66.86681537685605,0.9697662290295386,-28.210999697619645,0.7277631232206465,-38.19968318677838,0.9043449681170119,-66.7728359400409,0.780451606953067,22.513627982171364,0.7885971213981028,-39.84872386072908,0.8719482771567351,-66.37683236480778
52,1.04,0.04404893754510587,-29.50869372376829,0.06046411263196254,46.844012719630264,0.004892000811687303,78.46227221202571,0.2060889005032862,25.718705435243017,0.9191362373629361,37.39607739960099,0.7492782831662638,66.86681537685605,0.6803626212347478,-29.226055773817798,0.43939774776592316,-38.19968318677838,0.7498182682080622,-68.04159182236374,0.944425490902932,22.819360928070314,0.8048173974490621,-40.21987767557938,0.7371563490054782,-68.42424715353027
53,1.06,0.03592121085343613,-29.116526048551254,0.020067235730039667,50.31615965809654,0.004877529030830722,82.19040761319393,0.1730397474656199,25.718705435243017,1.016946412165554,40.44746556083314,0.8700290865814789,64.84432882272401,0.5525907271762541,-29.67155301883777,0.36506634691904427,-35.761789684345686,0.5950556216210278,-69.89270371525858,0.941974026405079,23.246034239808147,0.8247935533127727,-40.21987767557938,0.5633838076161386,-68.42424715353027
54,1.08,0.10097033763720624,-29.116526048551254,0.12822042307035536,51.66399243740316,0.30065164657161936,84.38345645472863,0.15449185231458146,26.330951012426752,0.9909726317638324,40.54261313293977,0.9384543054172377,64.13907741498245,0.5397717826635714,-30.018430241497796,0.3174571107667466,-35.37208793965238,0.5315720295741091,-70.86022564512882,0.7474275642040921,25.267635785872262,0.8355884223880274,-40.52203859576617,0.5453451860703059,-69.93657996598607
55,1.1,0.1279984769338434,-29.716123180711794,0.11680050815218321,51.66399243740316,0.1610988057946341,85.37504226097387,0.08316834355218423,26.091344705507726,0.9492213659249554,40.4884481480794,0.9045715093040811,64.15508178053136,0.5079975169523796,-30.551204541799766,0.34525547387934424,-35.30182333230388,0.5929957836750773,-70.66931530307026,0.5974841894111869,26.3032289630585,0.8488818195195361,-40.60015695109581,0.6337186697432022,-69.48942363141546
56,1.12,0.138558890868035,-29.716123180711794,0.08924899874135922,51.178519746001825,0.10498670778181611,84.26792849321689,0.04771171804813815,25.808077857204495,0.9199921258718411,39.812260600749994,0.8539617886763103,63.79963550203791,0.518350388336227,-29.732239861040284,0.35660209135974935,-35.59856663553204,0.6610897076385677,-70.32928975134148,0.5645531769132034,26.559601058235344,0.8670259187170053,-40.499478184460486,0.681086355508288,-68.75890461874876
57,1.14,0.09506837751151039,-23.314868703213794,0.015155665147483427,50.59518627239842,0.08015955972600733,83.03420366429117,0.27747623634706076,25.299420013439914,0.9000270715673686,39.802206723248126,0.8462344617243983,63.43240006425696,0.4337968715272545,-28.98476973600461,0.4096667412169497,-35.66303701266426,0.6070109964620791,-69.92994208579921,0.7203819205298343,26.559601058235344,0.7821762594556322,-40.35712408237756,0.7725269412644454,-68.71154940060035
58,1.16,0.1689407089636037,-21.801963493867376,0.07324240069911866,50.59518627239842,0.10474793230376375,82.64112885903234,0.16138591268123662,24.415683684385726,0.9204718957959028,39.84020247507543,0.8519615130957118,63.353344490253775,0.46119076981305507,-28.911120250801268,0.38367938396889933,-35.644248495896115,0.6613641379863457,-69.58350216757557,0.6993336784244076,28.702290722950305,0.8407776307697419,-40.52779988943078,0.6822726699950374,-69.35375689161937
59,1.18,0.20655107885121543,-21.553710702314063,0.08750555546369398,50.7082924727765,0.092085287001744,82.64112885903234,0.13905339429475355,24.22093453176564,0.9246733105026896,39.87564951288218,0.8692145386028324,63.19829247783799,0.4912596988345834,-28.329852365703402,0.3822823247550418,-35.61806285403761,0.6654361144029555,-69.49901639133947,0.6731975724348161,28.853036967944956,0.844788455871515,-40.6190322913338,0.6645651857167773,-69.52047980068932
